"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"872",2013,103,6.5,28.8,245780,"R"
"873",2015,114,5.3,28.78,55454,"PG-13"
"874",1984,101,6.8,28.73,36357,"PG"
"875",1994,101,5.6,28.72,18523,"R"
"876",2008,137,7.2,28.64,132807,"R"
"877",2009,105,7.1,28.5,106149,"R"
"878",1992,87,4.3,28.41,36924,"PG-13"
"879",2002,90,5.3,28.4,6239,"PG"
"880",2004,97,6.3,28.33,43211,"PG-13"
"881",2005,105,5.2,28.21,102419,"R"
"882",2011,106,5.1,28.09,73987,"PG-13"
"883",2003,87,6.2,28.08,141148,"PG"
"884",1984,108,5.1,28.08,14241,"PG"
"885",1997,107,7.3,28.01,84414,"R"
"886",1993,84,6.2,27.98,42970,"PG-13"
"887",2006,88,6.9,27.83,226539,"R"
"888",1997,117,6.9,27.78,65084,"R"
"889",2016,117,6.7,27.55,58151,"PG-13"
"890",1990,107,6.9,27.44,25789,"PG-13"
"891",2015,106,6,27.37,89842,"PG-13"
"892",2015,103,6.8,27.29,73121,"R"
"893",2012,172,7.4,27.11,333433,"R"
"894",2001,104,4.9,27.07,13730,"PG-13"
"895",1998,91,6.1,27.05,27593,"R"
"896",2005,101,4.4,26.87,65240,"PG-13"
"897",2016,102,7.6,26.86,186704,"R"
"898",2016,107,5.5,26.83,78535,"R"
"899",2019,99,6.8,26.8,78056,"R"
"901",2008,75,4.5,26.64,61257,"PG-13"
"902",2013,125,5.9,26.63,107628,"PG-13"
"903",2010,105,6.6,26.59,185605,"R"
"904",2003,98,6.5,26.54,57284,"R"
"905",1967,113,6,26.54,2034,"PG"
"906",2015,114,6.6,26.46,96869,"R"
"907",2008,109,6.8,26.42,104458,"R"
"908",2012,91,5.3,26.41,39265,"PG-13"
"909",2016,123,5.7,26.41,39449,"PG-13"
"910",2014,114,6.5,26.31,107926,"R"
"911",2002,110,6.4,26.2,40328,"R"
"912",2003,109,6.1,26.18,43202,"R"
"913",2013,109,7,26,245568,"R"
"914",1954,101,6.6,26,3177,"Approved"
"915",1991,111,6.4,25.9,17500,"R"
"916",1987,120,6.8,25.89,51470,"PG"
"917",2012,101,5.1,25.89,31396,"PG-13"
"918",2005,93,5.4,25.86,120909,"PG-13"
"919",1997,107,6.1,25.83,27463,"R"
"920",1985,109,6.9,25.75,12246,"PG-13"
"921",1996,108,7.2,25.75,272674,"R"
"922",2001,92,4.8,25.64,22726,"PG"
"923",1995,104,7.2,25.63,164600,"R"
"924",2009,83,3.5,25.62,11337,"PG-13"
"925",2005,119,7.8,25.51,275404,"PG-13"
"926",2002,95,5.9,25.48,12221,"R"
"927",1996,101,5.7,25.48,66215,"R"
"928",2009,118,6.5,25.45,88599,"R"
"929",1965,160,7.2,25.33,15238,"Passed"
"930",2002,92,6.8,25.3,275580,"PG-13"
"931",1981,99,7.2,25.24,116777,"R"
"932",1988,91,6.3,25.22,13567,"R"
"933",1998,124,7,25.19,70928,"R"
"934",2013,115,6.7,25.13,218348,"R"
"935",2011,116,6.4,25.12,119960,"R"
"936",1984,128,5.9,25.1,9988,"R"
"937",1990,113,5.6,25.07,15050,"R"
"938",2007,191,7.5,25.03,173472,"R"
"939",2015,122,6.9,25.02,113023,"PG-13"
"940",1976,119,6.8,25,49226,"PG"
"941",1973,102,7.7,25,91574,"R"
"942",2014,108,6.3,24.98,60762,"R"
"943",2008,113,6.6,24.85,92611,"PG-13"
"944",2011,95,5.4,24.83,87617,"PG-13"
"945",1963,115,7.4,24.8,109909,"PG"
"946",1995,107,5.1,24.7,8168,"PG"
"947",2006,104,7.6,24.63,70808,"PG-13"
"948",2005,103,7,24.52,95867,"R"
"949",1985,114,6.9,24.47,8872,"R"
"950",2005,97,4.7,24.41,84292,"PG-13"
"951",2001,120,6.1,24.4,47198,"R"
"952",2010,94,5.4,24.27,38030,"PG"
"953",1980,116,6.1,24.27,10246,"PG"
"954",1995,119,6.9,24.2,18604,"R"
"955",1986,117,5.5,24.16,12755,"PG-13"
"956",2005,122,7.6,24.15,283875,"R"
"957",1990,108,6.2,24.08,30967,"R"
"958",1995,106,5.6,24.05,26807,"R"
"959",2004,120,5.9,24.01,80885,"PG"
"960",2004,119,7.3,24.01,170736,"R"
"961",2010,92,6.5,23.98,108996,"R"
"962",1993,102,5.8,23.8,38699,"R"
"963",2007,121,7.8,23.64,439981,"R"
"964",2010,97,6.3,23.58,87456,"PG-13"
"965",2008,114,7,23.53,53941,"PG-13"
"966",2000,104,5.8,23.36,36331,"R"
"967",1998,89,3.8,23.32,39662,"PG-13"
"968",2006,97,5.3,23.29,45301,"PG-13"
"969",2010,98,6.4,23.24,96015,"R"
"970",2004,100,4.5,23.22,13440,"PG"
"971",2014,105,5.5,23.22,102889,"PG-13"
"972",1999,86,8,23.16,162807,"PG"
"973",2011,108,5.9,23.07,51931,"R"
"974",2009,105,5.6,23.04,31193,"PG-13"
"975",2014,119,6.3,23.02,209183,"PG-13"
"976",2003,104,5.5,23.02,46584,"PG-13"
"977",1993,112,6.5,23,8657,"R"
"978",1996,104,5.4,22.94,23315,"PG"
"979",1984,101,5.4,22.81,13077,"R"
"980",1969,142,6.7,22.8,74663,"PG"
"981",2000,94,6.6,22.75,57276,"PG"
"982",2008,90,5.6,22.53,91281,"PG-13"
"983",1979,92,7.6,22.49,88409,"R"
"984",2007,103,6.2,22.49,82629,"R"
"985",2015,96,5.7,22.47,82478,"R"
"986",2019,93,6.1,22.37,27359,"R"
"987",1987,153,7.8,22.24,109231,"PG"
"988",1993,94,5.7,22.19,20754,"R"
"989",2003,88,5.3,22.11,37409,"PG-13"
