"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"710",1994,117,7,52.7,131422,"R"
"711",2011,99,6.5,52.7,24130,"PG"
"712",2005,95,5.6,52.58,34608,"PG"
"713",2013,100,4.8,52.44,5625,"PG-13"
"714",2001,110,7.6,52.36,252752,"R"
"715",1999,81,7.7,52.01,186536,"R"
"716",2009,146,6.3,51.86,111101,"R"
"717",2012,105,6.6,51.85,43597,"PG"
"718",2011,113,5.9,51.8,44333,"PG-13"
"719",1994,82,6.3,51.76,40857,"PG"
"720",2009,113,4.5,51.73,9315,"PG-13"
"721",2004,95,5.9,51.44,77234,"PG"
"722",1992,126,7.1,51.43,50090,"PG-13"
"723",2002,99,5.3,51.43,18058,"PG"
"724",2005,80,6.4,51.39,54109,"PG"
"725",2017,115,7.1,51.34,144551,"R"
"726",1993,94,5.6,51.27,53162,"PG"
"727",1987,133,7.2,51.25,25472,"R"
"728",2014,107,6.4,51.18,29946,"PG"
"729",1994,83,6.5,51.13,91965,"PG-13"
"730",2005,109,6.8,51.09,180896,"PG"
"731",1995,106,5.7,50.89,12173,"R"
"732",1988,108,7.1,50.89,45067,"R"
"733",2008,93,6.1,50.88,34669,"G"
"734",2000,89,6.9,50.86,78576,"PG"
"735",2014,96,6.8,50.84,52250,"PG"
"736",1992,104,6.5,50.75,54889,"PG"
"737",2005,116,5.7,50.63,13175,"PG-13"
"738",1985,98,6.9,50.61,45281,"PG"
"739",2007,104,6.5,50.57,93394,"PG-13"
"740",2002,98,5.4,50.55,75612,"PG-13"
"741",1987,93,7.7,50.5,17666,"R"
"742",1981,107,6.9,50.43,3790,"PG"
"743",2018,112,6,50.32,30057,"PG-13"
"744",2001,90,6.9,50.29,100126,"PG-13"
"745",2010,101,6.4,50.29,157028,"R"
"746",1994,102,6.1,50.24,27565,"PG"
"747",2014,95,7.3,50.15,61505,"PG"
"748",2004,76,5.3,50.03,18699,"PG"
"749",1993,130,6.4,50.02,129980,"PG-13"
"750",2013,129,6.4,49.88,192663,"R"
