"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"476",2011,88,5.4,21.38,20239,"PG"
"477",2010,92,4.4,21.37,84782,"PG-13"
"478",1993,88,5.3,21.27,48522,"PG"
"479",2003,91,5.7,20.99,31081,"PG"
"480",2008,104,5.9,20.98,86930,"PG-13"
"481",1993,104,4,20.92,46687,"PG"
"482",1983,103,7.2,20.77,56944,"R"
"483",2005,93,6.2,20.7,88817,"R"
"484",2019,117,5.7,20.55,51205,"PG-13"
"485",1996,107,5.7,20.55,46378,"PG-13"
"486",2009,95,5.8,20.49,126802,"R"
"487",2017,110,5.3,20.48,76940,"PG-13"
"488",1981,88,5.5,20.26,4191,"PG"
"489",2006,90,4.8,20.26,27457,"PG-13"
"490",1996,117,6.1,20.1,28742,"PG-13"
"491",1993,109,6.6,20.1,20040,"PG-13"
"492",1989,105,5,20.02,20440,"R"
"493",1975,97,6.4,20,8619,"G"
"494",1980,102,6.9,19.85,30348,"R"
"495",2009,94,6.3,19.55,31499,"PG"
"496",2003,116,5.6,19.48,58481,"PG-13"
"497",1999,77,5,19.42,2819,"G"
"498",1998,93,4.4,19.17,26328,"R"
"499",1995,96,5.7,19.08,63960,"R"
"500",2014,92,5.1,19.08,76362,"PG-13"
"501",1970,95,6.1,19,40002,"G"
"502",2002,98,3.1,18.99,24924,"PG-13"
"503",1988,116,5.4,18.92,14720,"PG"
"504",1986,90,6.9,18.56,41949,"PG"
"505",1987,108,6.1,18.53,9757,"PG"
"506",2006,88,4.4,18.5,77663,"PG-13"
"507",1979,102,5.5,18.39,4090,"PG"
"508",2007,96,6.2,18.21,143194,"PG-13"
"509",1999,104,4.7,17.76,14940,"R"
"510",2011,86,5.2,17.69,52343,"PG-13"
"511",1997,177,6.1,17.63,66087,"R"
"512",2018,112,6.9,17.49,50662,"R"
"513",2000,106,5.7,17.48,53560,"PG-13"
"514",1957,82,7.1,17.44,8701,"Approved"
"515",2013,97,6.3,17.41,67106,"PG-13"
"516",1998,84,5.6,17.41,20059,"R"
"517",1981,109,6.6,17.37,25750,"R"
"518",1987,106,5.4,17.34,35028,"PG"
"519",2002,99,5.4,17.32,51046,"PG-13"
"520",2019,90,6.2,17.3,60351,"R"
"521",1992,110,5.4,17.13,14262,"R"
"522",2000,93,5.8,17.05,12266,"G"
"523",1977,97,5.8,17,4251,"PG"
"524",2009,104,5.7,17,89684,"R"
"525",2011,103,6.2,16.93,115829,"R"
"526",1982,98,5,16.9,5788,"R"
"527",2017,109,5.2,16.87,37965,"PG-13"
"528",1996,85,5.2,16.68,18247,"R"
"529",1980,103,6.7,16.65,19908,"PG"
"530",1999,87,6.3,16.63,17335,"G"
"531",1983,121,6.1,16.52,28724,"PG"
"532",1983,90,5.5,16.48,5044,"PG"
"533",1986,110,4.7,16.3,40985,"PG"
"534",1973,88,7,16.06,48537,"PG"
"535",1966,108,6.5,16,5689,"Unrated"
"536",2018,128,6.1,15.95,89839,"PG-13"
"537",1968,103,7,15.83,5931,"M"
"538",1989,98,5.8,15.7,17259,"R"
"539",1987,90,3.7,15.68,40809,"PG"
"540",1988,88,6.2,15.63,30495,"PG-13"
"541",1991,91,4.3,15.56,42113,"R"
"542",1999,100,7.1,15.5,63551,"R"
"543",1997,95,5.9,15.45,8721,"PG"
"544",1990,100,5.3,15.37,3159,"PG"
"545",1994,118,6.1,15.34,17914,"R"
"546",2013,123,7.8,15.32,278085,"R"
"547",1984,114,6.1,15.1,27905,"R"
"548",2007,99,5.9,15.07,72441,"PG-13"
"549",2009,115,5.6,15.05,86739,"PG-13"
"550",2005,97,5.1,15.01,33878,"PG-13"
"551",2002,99,6.2,14.97,76742,"PG-13"
"552",1985,95,5.1,14.97,2962,"PG"
"553",1980,94,5.2,14.66,2865,"PG"
"554",1998,99,6,14.57,50025,"R"
"555",2015,96,6.1,14.43,79490,"R"
"556",1984,95,6.4,14.42,17260,"PG-13"
"557",1982,98,4.9,14.4,40529,"R"
"558",2004,102,4.8,14.38,24326,"PG-13"
"559",1998,100,7.6,14.38,180981,"R"
"560",1992,99,6,14.36,21253,"PG-13"
"561",2012,95,6.1,14.33,90878,"PG-13"
"562",2002,91,3.7,14.29,18619,"R"
"563",2016,113,6.3,14.27,54956,"R"
"564",1984,91,5.7,14.26,9434,"PG"
"565",1985,91,7.3,14.24,51329,"R"
"566",1981,103,6.8,14.23,44769,"R"
"567",2000,90,4.9,14.22,16632,"PG-13"
"568",1996,115,6.3,14.05,30401,"PG-13"
