"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"1129",1995,135,7.6,71.52,67985,"PG-13"
"1130",2000,121,7.2,71.51,171780,"PG-13"
"1131",2004,127,7.5,71.5,173039,"R"
"1132",2009,105,7,71.44,188721,"R"
"1133",2013,115,6.7,71.35,99757,"PG-13"
"1134",1989,97,7.6,71.32,146088,"PG-13"
"1135",2001,83,5.3,71.31,143034,"R"
"1136",1977,78,6.9,71.22,54541,"G"
"1137",2008,96,6.5,71.2,84212,"PG"
"1138",1989,97,6.2,71.08,60525,"PG"
"1139",2001,124,6.8,71.07,115856,"R"
"1140",2015,94,4.4,71.04,32269,"PG"
"1141",2013,105,5.3,71.02,35560,"PG"
"1142",1990,110,6,70.98,37945,"PG-13"
"1143",1993,101,8,70.91,554516,"PG"
"1144",2001,114,5.9,70.84,123107,"PG-13"
"1145",2004,109,5.6,70.83,123217,"PG-13"
"1146",1996,108,6,70.77,87554,"R"
"1147",1980,116,6.2,70.69,16505,"PG"
"1148",2011,108,6.2,70.66,203124,"R"
"1149",1976,138,8,70.6,96109,"PG"
"1150",2013,123,6.7,70.53,14376,"R"
"1151",2005,132,8.2,70.51,980036,"R"
"1152",1995,101,5.8,70.45,96398,"PG-13"
"1153",1991,189,8,70.41,134485,"R"
"1154",2000,99,5.9,70.33,70985,"R"
"1155",1979,126,6.3,70.31,84955,"PG"
"1156",2006,129,5.9,70.28,75455,"PG-13"
"1157",2006,102,7.1,70.27,196180,"PG"
"1158",2015,130,7.8,70.26,328405,"R"
"1159",2008,112,5.7,70.23,70200,"PG-13"
"1160",1993,103,7,70.17,41059,"PG-13"
"1161",2006,99,4.7,70.17,38901,"PG-13"
"1162",1986,103,7.8,70.14,299954,"PG-13"
"1163",1998,103,6.4,70.12,67299,"PG"
"1164",2007,113,6.1,70.11,173409,"PG-13"
"1165",1992,117,5.5,70.1,24483,"R"
"1166",2003,111,8.1,70.1,944142,"R"
"1167",1998,120,7.1,70.09,233905,"R"
"1168",2012,110,6.5,70.01,64583,"R"
"1169",1989,145,7.2,70,92713,"R"
"1170",2008,123,7.6,69.95,275523,"PG-13"
"1171",1995,101,6.7,69.87,23047,"PG-13"
"1172",1980,109,6.2,69.85,22339,"R"
"1173",2001,99,6.5,69.77,171624,"R"
"1174",1982,114,5.9,69.7,9380,"R"
"1175",1995,103,5.5,69.7,33983,"PG-13"
"1176",2000,104,6.1,69.69,38893,"PG"
"1177",2002,116,6.1,69.6,17557,"PG-13"
"1178",2018,98,5.1,69.49,46799,"R"
"1179",1991,84,6.8,69.47,94499,"PG-13"
"1180",1999,113,6.8,69.3,83413,"R"
"1181",2000,124,5.9,69.24,56488,"PG-13"
"1182",2018,100,6.9,69.18,181266,"R"
"1183",1998,130,5.2,69.12,67796,"PG-13"
"1184",2019,90,6.7,69.06,40050,"R"
"1185",2005,105,5.9,68.92,38794,"PG-13"
"1186",1993,98,7,68.86,87087,"PG"
"1187",1985,112,7.4,68.71,81096,"R"
"1188",2005,124,6,68.67,88605,"PG-13"
"1189",2018,104,6.1,68.57,21911,"PG-13"
"1190",2013,106,5.8,68.56,105282,"PG"
"1191",2018,105,6,68.55,38950,"PG"
"1192",2000,93,6.4,68.54,152004,"R"
"1193",1999,93,6.3,68.52,71087,"PG-13"
"1194",2018,102,5.8,68.42,91109,"PG-13"
"1195",1984,111,6.6,68.39,18148,"R"
"1196",2000,98,6,68.38,83287,"PG-13"
"1197",2009,108,5,68.26,28061,"PG-13"
"1198",2011,94,6,68.22,83283,"PG"
"1199",1983,131,6.6,67.9,89552,"PG"
"1200",1995,127,6.6,67.82,103388,"R"
"1201",2015,120,6.5,67.79,12299,"PG"
"1202",2018,103,5.7,67.75,47193,"PG-13"
"1203",1983,117,6.6,67.64,38414,"R"
"1204",1998,107,6.5,67.64,75453,"R"
"1205",2010,103,6,67.63,212908,"PG-13"
"1206",2012,134,6.2,67.54,121503,"R"
"1207",1995,170,8.2,67.44,542686,"R"
"1208",2003,117,7,67.41,72693,"PG"
"1209",2018,118,7.3,67.36,65641,"PG-13"
"1210",2002,118,7.2,67.36,260543,"R"
"1211",2013,98,5.3,67.35,192387,"R"
"1212",2008,99,6.8,67.29,214578,"R"
"1213",2004,136,6.7,67.29,75125,"PG-13"
"1214",2016,81,6.3,67.27,106566,"PG-13"
"1215",2005,136,7.3,67.26,117273,"PG-13"
"1216",2016,139,8.1,67.21,392947,"R"
"1217",1980,124,7.5,67.18,15750,"PG"
"1218",2009,98,5.7,67.17,52929,"PG"
"1219",2019,121,6.4,67.16,50029,"R"
"1220",1997,108,5.9,67.13,76640,"PG-13"
"1221",2010,110,5.6,67.06,116351,"PG-13"
