"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"543",2005,96,6.2,32.62,100798,"PG-13"
"544",2002,112,6.6,32.54,101036,"PG-13"
"545",1991,132,6.5,32.48,15952,"R"
"546",2016,118,5.7,32.46,30321,"PG-13"
"547",2009,95,7.7,32.39,452588,"PG-13"
"548",2010,112,6.7,32.37,172273,"R"
"549",1986,118,5.9,32.32,6114,"PG"
"550",2008,87,3.8,32.24,48900,"PG-13"
"551",1993,139,7.2,32.2,46625,"PG"
"552",2001,106,6.4,32.13,78787,"PG-13"
"553",1973,83,7.6,32.06,108390,"G"
"554",2015,109,6.3,32,90628,"PG-13"
"555",2008,112,7.1,31.97,149661,"PG-13"
"556",1995,111,7.5,31.97,109519,"R"
"557",1969,105,6.8,31.9,5494,"R"
"558",1986,119,7.2,31.85,14148,"R"
"559",2005,90,6.2,31.73,46367,"PG-13"
"560",2018,110,4.7,31.71,5146,"R"
"561",1969,164,6.6,31.68,11568,"PG-13"
"562",1987,94,6.8,31.62,30570,"PG-13"
"563",2010,104,6.4,31.58,120247,"R"
"564",2010,112,7.5,31.49,352683,"PG-13"
"565",2008,90,6.6,31.49,86174,"PG-13"
"566",2008,101,6.5,31.46,168846,"R"
"567",2018,96,6.6,31.45,39322,"PG-13"
"568",2007,100,5.7,31.34,6787,"PG-13"
"569",2001,111,7,31.25,79982,"R"
"570",2008,114,6,31.2,30332,"PG-13"
"571",1981,116,4.9,31.18,6723,"R"
"572",2013,130,5.9,31.17,124091,"PG-13"
"573",2010,99,6.4,31.16,56305,"PG-13"
"574",1967,179,6.6,31.1,5630,"G"
"575",2015,119,6.5,31.09,122989,"R"
"576",1997,101,5.5,31.06,18171,"PG-13"
"577",1999,133,5.2,31.05,19147,"R"
"578",2019,122,7.5,31.03,26322,"PG"
"579",2016,97,6.8,31.02,83967,"PG-13"
"580",2010,107,6.5,31.01,69617,"PG-13"
"581",1987,98,8.1,30.86,372282,"PG"
"582",1970,206,7.4,30.85,8209,"GP"
"583",1994,123,5.3,30.81,11054,"PG"
"584",1985,107,7,30.76,5165,"PG-13"
"585",1999,81,5.1,30.63,17313,"PG-13"
"586",1953,118,7.6,30.5,40649,"Passed"
"587",2017,112,6.4,30.35,61121,"PG-13"
"588",1998,82,6.3,30.32,54673,"PG-13"
"589",2019,125,6.9,30.32,68760,"R"
"590",2003,94,5.3,30.31,41945,"PG-13"
"591",2003,123,5.5,30.24,6545,"PG-13"
"592",2007,126,7.6,30.23,54092,"PG-13"
"593",2010,121,5.4,30.21,42508,"PG-13"
"594",2002,104,6.1,30.06,35599,"PG-13"
"595",1982,150,7.6,30.04,38757,"R"
"596",1954,120,7.6,30,30857,"Not Rated"
"597",1990,107,6.2,29.89,21528,"PG-13"
"598",2016,107,5.1,29.7,5155,"PG-13"
"599",2009,103,4.8,29.58,36063,"PG-13"
"600",2004,89,4.6,29.33,26434,"PG"
"601",1997,109,6,29.29,31149,"PG-13"
"602",1979,125,7,29.2,7486,"R"
"603",1971,118,8,29.13,39220,"R"
"604",1998,111,6,29.11,18070,"R"
"605",2005,135,6.9,29.08,47398,"PG-13"
"606",1991,95,6.7,28.86,28364,"PG-13"
"607",2012,124,6.2,28.84,90061,"R"
"608",1949,134,6.8,28.8,6533,"Approved"
"609",2001,130,6.4,28.73,12142,"R"
"610",1984,115,7,28.7,40465,"PG"
"611",1997,98,5.2,28.66,14065,"PG-13"
"612",1978,98,6.7,28.46,1647,"PG"
"613",2006,103,5.5,28.44,42897,"PG-13"
"614",1992,87,4.3,28.41,36924,"PG-13"
"615",1964,150,6.5,28.41,1821,"Approved"
"616",1983,105,6.1,28.4,4682,"PG"
"617",2004,111,5.9,28.18,36287,"PG"
"618",1997,107,7.3,28.01,84414,"R"
"619",1997,106,6.1,27.97,7564,"PG-13"
"620",2011,86,5.6,27.87,73789,"PG-13"
"621",1986,104,5.2,27.82,7241,"PG-13"
"622",2001,152,6.9,27.81,50661,"PG"
"623",1999,129,6.5,27.8,11521,"PG-13"
"624",2017,102,4.5,27.78,35715,"PG-13"
"625",2010,101,6.1,27.76,92932,"PG-13"
"626",1993,109,6,27.52,11772,"R"
"627",2000,124,7.2,27.44,17259,"PG-13"
"628",1995,100,6.8,27.4,25862,"PG-13"
"629",2002,109,6.5,27.36,8136,"PG-13"
"630",2001,97,6.1,27.34,22577,"PG-13"
"631",2000,113,7.5,27.28,161456,"R"
"632",1980,115,5.9,27.12,3639,"PG"
"633",2001,104,4.9,27.07,13730,"PG-13"
"634",1999,95,6,27.07,20686,"R"
"635",2017,97,5.8,27.02,24977,"PG-13"
"636",2005,123,6.4,26.84,65441,"PG-13"
"637",2008,115,6.7,26.81,99492,"PG-13"
"638",2004,102,7.4,26.78,203162,"R"
"639",2014,118,6.7,26.76,62170,"PG-13"
"640",1987,112,6.9,26.71,49490,"PG"
"641",1987,110,6.2,26.71,13023,"PG"
"642",1985,130,6.7,26.7,21680,"R"
"643",2013,125,5.9,26.63,107628,"PG-13"
"644",1961,182,7.2,26.62,12136,"Approved"
"645",1998,108,6.8,26.53,24034,"R"
"646",1999,112,6.6,26.49,56979,"PG-13"
"647",2012,91,5.3,26.41,39265,"PG-13"
"648",1990,100,6.4,26.39,12313,"R"
"649",1994,100,6.2,26.37,22743,"PG"
"650",1998,111,6.9,26.33,49413,"R"
