"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"425",1988,111,7.1,32.07,29884,"R"
"426",1994,108,6.1,32.06,22256,"PG-13"
"427",2004,94,6.5,32,89686,"PG-13"
"428",1997,117,5.5,31.99,24653,"R"
"429",1993,97,4.1,31.89,8004,"PG"
"430",2016,133,7.4,31.89,80766,"R"
"431",2002,115,6.2,31.87,50990,"R"
"432",2015,120,6.8,31.57,219634,"R"
"433",1981,97,7.2,31.21,12732,"G"
"434",1993,138,7.6,31.16,69912,"PG-13"
"435",2005,117,5.3,30.98,42437,"R"
"436",1997,102,4.4,30.88,99654,"PG"
"437",2017,95,5.9,30.72,30899,"R"
"438",2018,99,6.1,30.62,22037,"R"
"439",1994,93,5.3,30.58,17909,"PG"
"440",2006,101,7.9,30.58,9517,"Not Rated"
"441",2018,90,3.8,30.57,25420,"PG-13"
"442",2000,102,8.3,30.33,742747,"R"
"443",1995,132,6.3,30.31,74614,"R"
"444",1989,97,6.4,30.22,45810,"PG-13"
"445",2000,117,5.7,30.21,27845,"R"
"446",1994,121,6.2,30.16,27031,"R"
"447",1991,110,5.6,30.1,36111,"R"
"448",1993,109,6.1,30.04,23943,"R"
"449",2008,111,7.2,30.03,168487,"R"
"450",2003,116,5.3,30.01,34857,"PG-13"
"451",1973,130,7.7,29.8,101175,"R"
"452",1998,108,6.5,29.75,103384,"R"
"453",2018,133,7.4,29.72,24058,"PG-13"
"454",2016,107,5.1,29.7,5155,"PG-13"
"455",1994,100,6,29.39,6223,"R"
"456",2000,107,5.1,29.37,13503,"R"
"457",1988,110,6.8,29.3,11033,"R"
"458",1981,125,6.7,29.2,5339,"R"
"459",2009,101,5.6,29.06,29263,"PG-13"
"460",2000,97,5.3,28.93,24723,"R"
"461",1989,113,6.5,28.89,12122,"PG-13"
"462",2013,103,6.5,28.8,245780,"R"
"463",2015,114,5.3,28.78,55454,"PG-13"
"464",2017,140,7.4,28.78,117529,"R"
"465",2005,114,7.3,28.75,120090,"R"
"466",1991,104,6.2,28.74,6220,"PG-13"
"467",2001,130,6.4,28.73,12142,"R"
"468",2008,101,6.2,28.69,45868,"R"
"469",2007,117,6.8,28.56,82008,"R"
"470",2007,120,7.3,28.48,138864,"R"
"471",2004,97,6.3,28.33,43211,"PG-13"
"472",1976,114,8.3,28.26,672937,"R"
"473",1965,116,6.8,28.06,5404,"Approved"
"474",1987,88,5,28.06,38311,"PG"
"475",1997,107,7.3,28.01,84414,"R"
"476",1993,84,6.2,27.98,42970,"PG-13"
"477",1990,77,6.9,27.93,35690,"G"
"478",1993,97,7.5,27.9,48392,"R"
"479",2006,88,6.9,27.83,226539,"R"
"480",2017,118,7,27.78,114773,"PG-13"
"481",1990,115,6.5,27.73,16346,"R"
"482",2007,121,6.2,27.67,99875,"R"
"483",1990,97,5.7,27.63,12767,"R"
"484",2009,132,6.7,27.15,59141,"R"
"485",1999,97,2.6,27.14,24397,"PG"
"486",1998,91,6.1,27.05,27593,"R"
"487",2005,101,4.4,26.87,65240,"PG-13"
"488",1979,97,7.1,26.87,2739,"PG"
"489",2016,102,7.6,26.86,186704,"R"
"490",1996,101,6.2,26.79,12655,"R"
"491",1985,130,6.7,26.7,21680,"R"
"492",2010,105,6.6,26.59,185605,"R"
"493",2003,98,6.5,26.54,57284,"R"
"494",2015,114,6.6,26.46,96869,"R"
"495",2008,109,6.8,26.42,104458,"R"
"496",2012,91,5.3,26.41,39265,"PG-13"
"497",2014,114,6.5,26.31,107926,"R"
"498",2002,110,6.4,26.2,40328,"R"
"499",2003,109,6.1,26.18,43202,"R"
"500",1984,127,6.5,25.93,15504,"R"
"501",1991,111,6.4,25.9,17500,"R"
"502",2012,101,5.1,25.89,31396,"PG-13"
"503",1997,107,6.1,25.83,27463,"R"
"504",1988,127,6.3,25.82,5214,"R"
"505",1996,108,7.2,25.75,272674,"R"
"506",2001,92,4.8,25.64,22726,"PG"
"507",2007,99,5.9,25.61,18629,"PG"
"508",1983,91,7.1,25.6,70744,"PG"
"509",2002,95,5.9,25.48,12221,"R"
"510",2017,88,5.6,25.48,37323,"R"
"511",2009,118,6.5,25.45,88599,"R"
"512",2002,92,6.8,25.3,275580,"PG-13"
"513",1987,102,6.3,25.21,8190,"R"
"514",2004,97,5.3,25.2,19583,"R"
"515",1998,124,7,25.19,70928,"R"
"516",2000,110,6.1,25.17,32221,"R"
"517",1986,103,5.9,25.15,5535,"R"
"518",2017,132,6.8,25.11,66377,"R"
"519",1984,128,5.9,25.1,9988,"R"
"520",1997,155,6.6,25.08,35599,"R"
"521",1994,191,6.7,25.05,43186,"PG-13"
"522",1990,81,5.4,25.03,8582,"PG"
"523",1974,115,7.1,25,20904,"R"
"524",1973,102,7.7,25,91574,"R"
"525",2014,108,6.3,24.98,60762,"R"
"526",1996,98,8.1,24.61,581214,"R"
"527",2005,103,7,24.52,95867,"R"
"528",1975,118,5.3,24.44,1027,"PG"
"529",2005,97,4.7,24.41,84292,"PG-13"
"530",2001,120,6.1,24.4,47198,"R"
"531",1967,110,8,24.38,62868,"Not Rated"
"532",1999,117,7.2,24.36,78309,"R"
"533",1995,132,7.4,24.36,36613,"R"
"534",1992,140,6.6,24.28,20517,"R"
"535",1995,119,6.9,24.2,18604,"R"
"536",2005,122,7.6,24.15,283875,"R"
"537",1990,108,6.2,24.08,30967,"R"
"538",1981,113,7.4,24.06,29020,"R"
"539",1995,106,5.6,24.05,26807,"R"
"540",2018,111,6.4,24.01,21538,"R"
"541",2009,86,5.8,23.99,58867,"R"
"542",2007,109,5.7,23.98,43377,"R"
"543",2010,92,6.5,23.98,108996,"R"
"544",2001,86,4.7,23.98,12128,"PG-13"
"545",1993,102,5.8,23.8,38699,"R"
"546",1982,97,5.8,23.67,1220,"R"
"547",1990,97,6.3,23.59,17836,"PG-13"
"548",2010,97,6.3,23.58,87456,"PG-13"
"549",1991,109,6.5,23.56,28404,"PG"
"550",2008,114,7,23.53,53941,"PG-13"
"551",1997,130,6.3,23.46,10137,"R"
"552",2000,104,5.8,23.36,36331,"R"
"553",1995,106,8.5,23.34,938284,"R"
"554",2010,98,6.4,23.24,96015,"R"
"555",2009,105,5.6,23.04,31193,"PG-13"
"556",1980,100,7,23,9223,"R"
"557",1980,117,6.2,23,20174,"R"
"558",1998,121,7.3,22.91,137371,"R"
"559",1993,107,5.6,22.89,4474,"R"
"560",2005,122,6.3,22.86,41897,"R"
"561",1987,94,7.3,22.85,119891,"PG-13"
"562",1996,118,5.7,22.75,16241,"R"
"563",1992,119,6.8,22.66,13254,"R"
"564",1991,96,5.8,22.64,6300,"PG"
"565",2006,121,5.6,22.52,69488,"R"
"566",2006,110,7.7,22.49,292289,"R"
"567",1979,92,7.6,22.49,88409,"R"
"568",2015,96,5.7,22.47,82478,"R"
"569",2002,108,6.1,22.43,23625,"R"
"570",1990,98,5.7,22.42,3414,"R"
"571",1997,122,6.3,22.42,15468,"R"
"572",2019,93,6.1,22.37,27359,"R"
"573",2005,116,7.3,22.2,37498,"R"
"574",1989,109,6.4,22.1,36339,"R"
"575",2017,101,5.2,22.06,42640,"R"
"576",1974,93,7,22,33370,"R"
"577",1984,101,7.2,21.82,8327,"PG"
"578",1991,102,6.2,21.76,15248,"R"
"579",1976,125,7.5,21.71,54666,"R"
"580",1992,124,7.5,21.71,51125,"R"
"581",1990,120,5.9,21.63,24200,"R"
"582",1992,99,5.7,21.59,6448,"R"
"583",2016,134,7.3,21.59,125814,"R"
"584",1988,104,6.2,21.49,15284,"R"
"585",1990,102,6.4,21.46,17884,"PG"
"586",1986,104,6.2,21.46,6184,"PG"
"587",1990,104,6.5,21.41,16567,"R"
"588",2012,140,7.3,21.38,233486,"R"
"589",1992,92,6.1,21.37,13002,"R"
"590",2019,111,6.4,21.36,35547,"R"
"591",2006,97,5.9,21.32,9114,"R"
"592",1995,106,6.8,21.28,41499,"R"
"593",2002,120,7.9,21.24,136703,"R"
"594",2004,84,4.1,21.22,26307,"PG-13"
"595",1996,84,5.8,21.16,33821,"R"
"596",2006,105,6.1,21.16,10438,"PG-13"
"597",2010,133,7.4,21.15,173530,"PG-13"
"598",1992,102,5.9,21.14,9444,"PG-13"
"599",2009,87,7.8,21,183769,"PG"
"600",1996,86,5.5,20.95,12246,"PG-13"
"601",2018,89,4.9,20.87,7657,"R"
"602",1994,119,6.6,20.85,3362,"R"
"603",2009,91,5.2,20.82,98520,"PG"
"604",2017,95,5.6,20.76,27106,"R"
"605",2018,91,5.4,20.71,21421,"R"
"606",2008,104,5.8,20.67,19743,"PG-13"
"607",2007,102,6.2,20.57,33983,"PG-13"
"608",2016,100,6.3,20.57,43354,"R"
"609",2018,116,5.1,20.55,5457,"R"
"610",1978,145,6.4,20.39,6773,"PG"
"611",1995,111,5.8,20.35,30725,"R"
"612",1985,101,6.1,20.35,6392,"R"
"613",2007,84,5.9,20.34,25805,"R"
"614",2007,114,7.6,20.3,239741,"R"
"615",2014,90,5.7,20.29,38405,"PG-13"
"616",1994,102,6,20.28,7430,"PG-13"
"617",1972,125,6.5,20.27,2876,"PG"
"618",1988,96,5.4,20.26,9539,"R"
"619",1991,104,6,20.25,8049,"R"
"620",1993,108,5.6,20.21,12599,"PG-13"
"621",2008,115,6.7,20.21,56693,"R"
"622",2015,111,6.3,20.18,39595,"PG-13"
"623",1979,90,5.1,20.17,3138,"PG"
"624",1992,95,7.1,20.15,22162,"R"
"625",1996,89,6.6,20.11,45853,"R"
"626",1996,91,5.4,20.1,18037,"R"
"627",1989,113,6.5,20.05,5853,"R"
"628",1988,97,6,20.04,15561,"R"
"629",2005,109,6.3,19.98,71708,"R"
"630",1998,87,5.6,19.88,14109,"PG-13"
"631",1998,97,5.9,19.82,31035,"R"
"632",1980,102,6.4,19.8,17432,"R"
"633",2008,103,4.8,19.78,58458,"PG-13"
"634",1997,94,4.9,19.74,9065,"PG"
"635",1987,109,6.3,19.73,8439,"R"
"636",2001,124,6.8,19.72,51297,"R"
"637",2013,109,6.2,19.7,73037,"R"
"638",2005,100,5.4,19.7,22124,"PG-13"
"639",2003,130,7.6,19.59,104142,"R"
"640",1994,110,8.5,19.5,968820,"R"
"641",2001,90,5.9,19.35,37468,"PG-13"
"642",2013,88,5.6,19.32,59120,"R"
"643",1999,142,6.7,19.28,34707,"R"
"644",1982,116,7,19.28,11173,"PG"
"645",1998,87,6.2,18.97,26063,"R"
"646",1988,99,6,18.87,27230,"R"
"647",1987,121,6.6,18.78,8735,"R"
"648",1987,114,6.1,18.75,5781,"R"
"649",1985,134,6.9,18.7,13166,"R"
"650",1989,94,5.8,18.7,6508,"PG"
"651",1989,113,7.1,18.67,39127,"R"
"652",2012,102,6.6,18.62,139867,"PG-13"
"653",2017,100,6,18.59,39629,"R"
"654",2006,88,4.4,18.5,77663,"PG-13"
"655",2001,100,7.1,18.49,93019,"R"
"656",2005,110,5.8,18.47,71416,"PG-13"
"657",1994,109,4.8,18.44,7162,"PG"
"658",1997,89,4.7,18.3,3884,"PG"
"659",1993,123,5.9,18.27,3921,"R"
"660",1982,88,6.9,18.2,19349,"PG"
"661",2007,100,4.5,18.01,21875,"R"
"662",2001,106,5.8,18,30657,"PG-13"
